change,change_id,requirement_id,requirement,scenario,test_evidence_status,branches,source_evidence,implementation_commit,test_artifact
C02,harden-opencli-process-lifecycle,OC-PROC-006,Continuous output requires a bounded policy,Bounded follow,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-001,Current YAML error output is supported,JSON success format with YAML failure,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-001,Current YAML error output is supported,Plain diagnostics,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-002,Wire fields and trace remain available,Future plugin error,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-002,Wire fields and trace remain available,Trace points to a file,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-003,Exit origins are separate,Exit mismatch,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-003,Exit origins are separate,Unobserved exit,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-004,Parsing is safe and bounded,Malicious YAML,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-004,Parsing is safe and bounded,Malformed JSON,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-005,SDK and transport causes stay distinct,Timeout with partial envelope,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-005,SDK and transport causes stay distinct,Network failure,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-006,Decoding does not retry writes,Retry suggestion,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C03,preserve-opencli-error-envelope,OC-ERR-006,Decoding does not retry writes,Readable JSON alternative,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E08;E09;U04;U05,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-001,Transport scope is explicit,Browser session in legacy mode,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-001,Transport scope is explicit,Supported adapter request,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-002,Lossy conversions never dispatch,Repeated option or terminator,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-002,Lossy conversions never dispatch,Negative and empty values,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-003,Remote evidence is not a fabricated process exit,HTTP 200 business failure,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-003,Remote evidence is not a fabricated process exit,HTTP failure,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-004,Malformed responses are explicit failures,Null envelope,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-004,Malformed responses are explicit failures,Absent items on successful legacy reply,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-005,Remote budgets and uncertainty are bounded,Timeout after dispatch,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-005,Remote budgets and uncertainty are bounded,Oversized body,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-006,Credentials use an explicit secure boundary,Authenticated fixture,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C04,harden-opencli-remote-collect,OC-REMOTE-006,Credentials use an explicit secure boundary,Unsupported authentication assumption,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E05;E06;U03,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-001,Registration gates command execution,Early collect,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-001,Registration gates command execution,Ready collect,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-002,Worker concurrency and queue are finite,Queue full,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-002,Worker concurrency and queue are finite,Invalid capacity,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-003,Request identity is required and bounded,Duplicate in flight,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-003,Request identity is required and bounded,ID collision with changed payload,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-004,Deduplication retention is bounded and honest,Completed duplicate,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-004,Deduplication retention is bounded and honest,Restart or expiration,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-005,Connection generations isolate late results,Disconnect during write,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-005,Connection generations isolate late results,Explicit duplicate on new generation,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-006,Close is terminal and bounded,Close with pending work,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C05,harden-opencli-reverse-agent,OC-WS-006,Close is terminal and bounded,Repeated close and restart,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E07;E01;E04,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-001,Discovery follows the real structured-help shape,Nested browser namespace,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-001,Discovery follows the real structured-help shape,Future extra field,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-002,Value-taking and negation are explicit,Optional value omitted,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-002,Value-taking and negation are explicit,Invalid choice,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-003,"Session placeholders are bound, not executed",Browser state path,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-003,"Session placeholders are bound, not executed",Missing session binding,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-004,Snapshots carry provenance and scope,Unresolved local override,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-004,Snapshots carry provenance and scope,Same version changed installation,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-005,Unavailable discovery is not an empty success,Old CLI plain-text help,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-005,Unavailable discovery is not an empty success,Cached stale data,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-006,Discovery is bounded and does not run business operations,Malicious description,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C06,add-opencli-capability-discovery,OC-CAP-006,Discovery is bounded and does not run business operations,Slow help,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E02;E10;U02;U03;U05,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-001,Typed support is leaf-specific and evidenced,Missing output fixture,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-001,Typed support is leaf-specific and evidenced,Distinct output shapes,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-002,Strict parse failure is not empty success,Truncated JSON,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-002,Strict parse failure is not empty success,Valid empty array,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-003,Unknown fields and identifiers remain lossless,Large ID,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-003,Unknown fields and identifiers remain lossless,New metadata,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-004,Existing AX options are preserved,AX state request,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-004,Existing AX options are preserved,Invalid typed source,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-005,Optional context does not grant side effects,No sitemap member,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-005,Optional context does not grant side effects,Untrusted hint or path,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-006,Existing public return contracts remain compatible,Existing close caller,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C07,add-opencli-browser-result-models,OC-BROWSER-006,Existing public return contracts remain compatible,Bound user tab,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E03;E09;E12;U02;U03,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-001,Invocation context is isolated,Concurrent profiles,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-001,Invocation context is isolated,Absent versus false,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-002,Context flags respect capability scope,Unsupported option scope,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-002,Context flags respect capability scope,Profile is supplied,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-003,Diagnostics report evidence rather than optimism,Remote-only execution,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-003,Diagnostics report evidence rather than optimism,Version works but schema fails,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-004,Default diagnostics do not repair,Auth expired,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-004,Default diagnostics do not repair,Unverified doctor side effects,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-005,Sitemap hints remain optional untrusted data,Hint available,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-005,Sitemap hints remain optional untrusted data,Missing fixture contract,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-006,Unestablished pipeline interfaces remain deferred,Package export discovered,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C08,add-opencli-context-and-diagnostics,OC-CTX-006,Unestablished pipeline interfaces remain deferred,Future pipeline proposal,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E12;E03;U02;U03;U05;U01;U06,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-001,Default logs contain only approved metadata,Failure contains prompt,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-001,Default logs contain only approved metadata,Debug level enabled,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-002,Exception diagnostics do not reintroduce payloads,HTTP503 body secret,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-002,Exception diagnostics do not reintroduce payloads,Parser error location,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-003,Raw results and diagnostic projections are separate,Business value resembles token,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-003,Raw results and diagnostic projections are separate,Default HTTP capture,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-004,Sensitive locations are not default identifiers,Credential-shaped URL,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-004,Sensitive locations are not default identifiers,Trace directory contains user data,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-005,Diagnostic export is explicit and finite,No export consent,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-005,Diagnostic export is explicit and finite,Enabled bounded export,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-006,Privacy regressions are tested end to end,Nested cause leak,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C09,harden-opencli-diagnostics-privacy,OC-PRIV-006,Privacy regressions are tested end to end,No diagnostic leak but caller prints raw,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E06;E07;E09,NOT_IMPLEMENTED,NOT_RUN
C10,enforce-opencli-branch-contract-parity,OC-PARITY-001,Branch differences are explicit,Jackson major divergence,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E10;E11;E12;E13;E14;E15;E16;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C10,enforce-opencli-branch-contract-parity,OC-PARITY-001,Branch differences are explicit,Behavior drift,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E10;E11;E12;E13;E14;E15;E16;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C10,enforce-opencli-branch-contract-parity,OC-PARITY-002,Upstream baselines are reproducible,Historical fixture,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E10;E11;E12;E13;E14;E15;E16;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C10,enforce-opencli-branch-contract-parity,OC-PARITY-002,Upstream baselines are reproducible,Updated snapshot,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E10;E11;E12;E13;E14;E15;E16;E17;E18,NOT_IMPLEMENTED,NOT_RUN
